.text section layout
  Starting        Virtual
  address  Size   address
  -----------------------
  00000000 000efc 800056e0  1 .text 	m_Do_main.o 
  00000000 000068 800056e0  4 version_check() 	m_Do_main.o 
  00000068 000064 80005748  4 HeapCheck::CheckHeap1() 	m_Do_main.o 
  000000cc 0000ac 800057ac  4 CheckHeap(JUTGamePad*) 	m_Do_main.o 
  00000178 000058 80005858  4 countUsed(JKRExpHeap*) 	m_Do_main.o 
  000001d0 000024 800058b0  4 HeapCheck::getUsedCount() const 	m_Do_main.o 
  000001f4 000254 800058d4  4 HeapCheck::heapDisplay() 	m_Do_main.o 
  00000448 0002b8 80005b28  4 debugDisplay() 	m_Do_main.o 
  00000700 000400 80005de0  4 Debug_console(JUTGamePad*) 	m_Do_main.o 
  00000b00 000008 800061e0  4 JKRHeap::dump_sort() 	m_Do_main.o 
  00000b08 00007c 800061e8  4 LOAD_COPYDATE(void*) 	m_Do_main.o 
  00000b84 0000d4 80006264  4 debug() 	m_Do_main.o 
  00000c58 00012c 80006338  4 main01() 	m_Do_main.o 
  00000d84 000178 80006464  4 main 	m_Do_main.o 
  00000efc 0009b4 800065dc  1 .text 	m_Do_printf.o 
  00000efc 000064 800065dc  4 OSGetCallerPC 	m_Do_printf.o 
  00000f60 000070 80006640  4 OSGetActiveThreadID 	m_Do_printf.o 
  00000fd0 0000c0 800066b0  4 search_partial_address 	m_Do_printf.o 
  00001090 000060 80006770  4 convert_partial_address 	m_Do_printf.o 
  000010f0 00000c 800067d0  4 OSReportDisable 	m_Do_printf.o 
  000010fc 00000c 800067dc  4 OSReportEnable 	m_Do_printf.o 
  00001108 00000c 800067e8  4 OSReportForceEnableOn 	m_Do_printf.o 
  00001114 00000c 800067f4  4 OSReportForceEnableOff 	m_Do_printf.o 
  00001120 000018 80006800  4 OSReportInit() 	m_Do_printf.o 
  00001138 000138 80006818  4 OSVReport 	m_Do_printf.o 
  00001270 000080 80006950  4 OSReport 	m_Do_printf.o 
  000012f0 0000cc 800069d0  4 OSReport_FatalError 	m_Do_printf.o 
  000013bc 0000d8 80006a9c  4 OSReport_Error 	m_Do_printf.o 
  00001494 0000d8 80006b74  4 OSReport_Warning 	m_Do_printf.o 
  0000156c 000138 80006c4c  4 OSPanic 	m_Do_printf.o 
  000016a4 00085c 80006d84  1 .text 	m_Do_audio.o 
  000016a4 00000c 80006d84  4 mDoAud_zelAudio_c::reset() 	m_Do_audio.o 
  000016b0 000030 80006d90  4 mDoAud_zelAudio_c::calcLoadTimer() 	m_Do_audio.o 
  000016e0 000014 80006dc0  4 mDoAud_isUsedHeapForStreamBuffer() 	m_Do_audio.o 
  000016f4 0001b4 80006dd4  4 mDoAud_allocStreamBuffer() 	m_Do_audio.o 
  000018a8 0000b4 80006f88  4 mDoAud_deallocStreamBuffer() 	m_Do_audio.o 
  0000195c 000004 8000703c  4 mDoAud_executeStreamBuffer() 	m_Do_audio.o 
  00001960 000050 80007040  4 mDoAud_setupStreamBuffer() 	m_Do_audio.o 
  000019b0 000194 80007090  4 mDoAud_Create() 	m_Do_audio.o 
  00001b44 000044 80007224  4 mDoAud_Execute() 	m_Do_audio.o 
  00001b88 000170 80007268  4 mDoAud_getTactDirection(i32, i32) 	m_Do_audio.o 
  00001cf8 00004c 800073d8  4 mDoAud_setSceneName(i8 const*, i32, i32) 	m_Do_audio.o 
  00001d44 000054 80007424  4 mDoAud_load1stDynamicWave() 	m_Do_audio.o 
  00001d98 00001c 80007478  4 cLib_calcTimer<Uc>(u8*) 	m_Do_audio.o 
  00001db4 00006c 80007494  4 __sinit_m_Do_audio_cpp 	m_Do_audio.o 
  00001e20 00005c 80007500  4 ~mDoAud_zelAudio_c() 	m_Do_audio.o 
  00001e7c 00003c 8000755c  4 ~JAIZelInst() 	m_Do_audio.o 
  00001eb8 000624 80007598  1 .text 	m_Do_controller_pad.o 
  00001eb8 000328 80007598  4 mDoCPd_Convert(interface_of_controller_pad*, JUTGamePad*) 	m_Do_controller_pad.o 
  000021e0 0001b0 800078c0  4 mDoCPd_Read() 	m_Do_controller_pad.o 
  00002390 00014c 80007a70  4 mDoCPd_Create() 	m_Do_controller_pad.o 
